Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
219,Adv. K.T. Paluskar,NORTH EAST DELHI,Prabuddha Republican Party,0,Post Graduate,,
220,Adv. Kasbekar Shridhar Limbaji,LATUR (SC),Rashtriya Sant Sandesh Party,1,Graduate Professional,"Rs 58,55,060  ~ 58 Lacs+",Rs 0  ~
221,Adv. Krupal,NORTH WEST DELHI (SC),Prabuddha Republican Party,0,Post Graduate,"Rs 15,75,155  ~ 15 Lacs+",Rs 0  ~
222,Adv. Lata Pandurang Shinde,MUMBAI NORTH - WEST,IND,0,Graduate Professional,,
223,Adv. Mahendra Dadasaheb Shinde,AHMEDNAGAR,IND,1,Post Graduate,"Rs 32,234  ~ 32 Thou+",Rs 0  ~
224,Adv. Mahendra Tulshiram Bhingardive,MUMBAI SOUTH - CENTRAL,Right to Recall Party,0,Graduate Professional,"Rs 1,75,53,933  ~ 1 Crore+","Rs 6,50,000  ~ 6 Lacs+"
225,Adv. Manik Bansi Aadmane,BEED,Bahujan Republican Socialist Party,1,Post Graduate,,
226,Adv. Namdeo Pandurang Koli,JALGAON,IND,3,Graduate Professional,"Rs 3,91,216  ~ 3 Lacs+","Rs 15,00,000  ~ 15 Lacs+"
227,Adv. Nivedida,PONNANI,BJP,5,Post Graduate,"Rs 9,56,33,596  ~ 9 Crore+","Rs 63,69,577  ~ 63 Lacs+"
228,Adv. Pradip S. Chincholikar,LATUR (SC),IND,0,Graduate Professional,,
229,Adv. Pruthvisamrat Mukindrao Dipwansh,AMRAVATI (SC),IND,0,Graduate Professional,"Rs 1,400  ~ 1 Thou+",Rs 0  ~
230,Adv. Raju Madhukarrao Kalane,AMRAVATI (SC),Bahujan Bharat Party,2,Graduate Professional,"Rs 41,500  ~ 41 Thou+","Rs 29,000  ~ 29 Thou+"
231,Adv. Ramrao Atmaram Jumbade,HINGOLI,IND,0,Graduate Professional,,
232,Adv. Russel Joy,IDUKKI,BSP,0,Graduate Professional,"Rs 2,77,30,032  ~ 2 Crore+","Rs 23,26,691  ~ 23 Lacs+"
233,Adv. Sangeetha Viswanathan,IDUKKI,Bharath Dharma Jana Sena,1,Post Graduate,"Rs 8,02,67,162  ~ 8 Crore+","Rs 1,15,74,186  ~ 1 Crore+"
234,Adv. Sanjeevkumar Apparav Kalkori,MUMBAI NORTH - WEST,IND,0,Graduate Professional,,
235,Adv. Santosh Punjiram Sanjkar,MUMBAI SOUTH - CENTRAL,IND,4,Post Graduate,"Rs 16,38,030  ~ 16 Lacs+",Rs 0  ~
236,Adv. Santosh Ramkrishna Lanjewar,NAGPUR,All India Forward Bloc,0,Post Graduate,"Rs 1,05,66,089  ~ 1 Crore+","Rs 22,06,036  ~ 22 Lacs+"
237,Adv. Sharad Bahinaji Kamble,BEED,All India National Raksha Sena,0,Post Graduate,,
238,Adv. Shivajirao Jadhav,HINGOLI,IND,0,Post Graduate,"Rs 53,92,91,634  ~ 53 Crore+","Rs 16,72,22,522  ~ 16 Crore+"
239,Adv. Shivajirao Waman Damale,AHMEDNAGAR,Sainik Samaj Party,0,Graduate Professional,"Rs 3,90,000  ~ 3 Lacs+",Rs 0  ~
240,Adv. Sonal Diwakar Gondane,MUMBAI NORTH,Vanchit Bahujan Aaghadi,0,Post Graduate,,
241,Adv. Vinod Chhaganrao Ambhore,PARBHANI,Bahujan Mukti Party,1,Graduate Professional,"Rs 6,90,499  ~ 6 Lacs+","Rs 1,32,588  ~ 1 Lacs+"
242,Adv. Vishvjeet Vijaykumar Shinde,OSMANABAD,Aadarsh Sangram Party,0,Post Graduate,"Rs 1,93,39,431  ~ 1 Crore+",Rs 0  ~
243,Adv. Yash Suhas Hegdepatil,KOLHAPUR,IND,0,Post Graduate,,
244,Adv. Yogesh Dattu Gullapelli,JALNA,IND,0,Post Graduate,"Rs 17,14,301  ~ 17 Lacs+",Rs 0  ~
245,Adv. Yogesh Makane,PUNE,IND,0,Graduate Professional,"Rs 2,04,78,000  ~ 2 Crore+","Rs 24,00,000  ~ 24 Lacs+"
246,Adv. Zunjar Mhasuji Avhad,NASHIK,Bahujan Republican Socialist Party,1,Graduate Professional,,
247,Adv.Harikumar M.K.,PATHANAMTHITTA,Ambedkarite Party of India,1,Graduate Professional,"Rs 6,231  ~ 6 Thou+",Rs 0  ~
248,Adv.K.M Shajahan,ALAPPUZHA,IND,5,Post Graduate,"Rs 1,89,94,512  ~ 1 Crore+","Rs 44,90,000  ~ 44 Lacs+"
249,Adv.P.K.Geethakrishnan,PATHANAMTHITTA,BSP,0,Post Graduate,,
250,Adv.Swapnil Bhausaheb Shelar,SHIRUR,IND,0,Graduate,"Rs 26,86,665  ~ 26 Lacs+","Rs 3,45,959  ~ 3 Lacs+"
251,Advocate Aditya Dhankhar,ROHTAK,Super Power India Party,0,Graduate Professional,"Rs 4,50,000  ~ 4 Lacs+",Rs 0  ~
252,Advocate Arun Shrivastava,BHOPAL,INC,1,Post Graduate,,
253,Advocate Dr. Mahender Singh Churiyana,NORTH WEST DELHI (SC),Bahujan Dravida Party,0,Doctorate,"Rs 4,17,81,000  ~ 4 Crore+",Rs 0  ~
254,Advocate Hari Kishan Tiwari,JAIPUR,Bheem Tribal Congress,0,Graduate Professional,"Rs 1,01,10,000  ~ 1 Crore+",Rs 0  ~
255,Advocate J. P. Maraviya,JAMNAGAR,INC,0,Graduate Professional,,
256,Advocate Kapil K. Soni,MUMBAI NORTH,IND,0,Post Graduate,"Rs 48,216  ~ 48 Thou+","Rs 97,200  ~ 97 Thou+"
257,Advocate Kapil Kantilal Soni,MUMBAI NORTH - WEST,IND,0,Post Graduate,"Rs 48,216  ~ 48 Thou+","Rs 97,200  ~ 97 Thou+"
258,Advocate Karansingh Jatav,GUNA,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,,
259,Advocate Manjeet Singh,EAST DELHI,Rashtra Nirman Party,0,Graduate Professional,"Rs 1,20,04,732  ~ 1 Crore+","Rs 13,07,590  ~ 13 Lacs+"
260,Advocate Mukesh Kumar Kori,GWALIOR,IND,0,Graduate Professional,"Rs 48,37,666  ~ 48 Lacs+","Rs 22,00,000  ~ 22 Lacs+"
261,Advocate Navinkumar Shankerbhai Patel,NAVSARI,IND,0,Graduate Professional,,
262,Advocate Pankaj Gupte,INDORE,IND,0,Graduate Professional,"Rs 1,70,209  ~ 1 Lacs+",Rs 0  ~
263,Advocate Pardeep Saini,KURUKSHETRA,Rashtriya Garib Dal,0,Post Graduate,"Rs 91,60,700  ~ 91 Lacs+","Rs 80,000  ~ 80 Thou+"
264,Advocate Pardeep Sihmar,HISAR,Peoples Party of India (Democratic),1,Graduate Professional,,
265,Advocate Prakash Chouhan,UJJAIN (SC),BSP,0,Graduate Professional,"Rs 71,59,000  ~ 71 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
266,Advocate Sanjay Sharma,KANGRA,IND,0,Graduate Professional,"Rs 2,12,41,828  ~ 2 Crore+","Rs 5,80,621  ~ 5 Lacs+"
267,Advocate Santosh Rawat,BARABANKI (SC),Dr. Bhimrao Ambedkar Dal,0,Post Graduate,,
268,Advocate Satish Chandra,NORTH WEST DELHI (SC),Ambedkarite Party of India,0,Post Graduate,"Rs 27,53,000  ~ 27 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
269,Advocate Satyaprakash Shulke,BALAGHAT,Madhya Pradesh Jan Vikas Party,0,Graduate Professional,"Rs 12,67,608  ~ 12 Lacs+",Rs 0  ~
270,Advocate Shailendra Banjare (Shaktiputra),BILASPUR,Shakti Sena (Bharat Desh),0,Post Graduate,,
271,Advocate Shailendra Banjare (Shaktiputra),JANJGIR-CHAMPA (SC),Shakti Sena (Bharat Desh),0,Post Graduate,"Rs 11,29,57,000  ~ 11 Crore+","Rs 20,00,000  ~ 20 Lacs+"
272,Advocate Uday Kumar Sahu,JABALPUR,Gondvana Gantantra Party,1,Graduate Professional,"Rs 3,03,43,010  ~ 3 Crore+","Rs 18,00,000  ~ 18 Lacs+"
273,Advocate Vidayaraj Malaviy,DEWAS (SC),Social Democratic Party Of India,0,Post Graduate,,
274,Advocate Vijay Babulal Danej,JALGAON,IND,0,Post Graduate,"Rs 1,35,23,149  ~ 1 Crore+",Rs 0  ~
275,Advocate Yerra Kaamesh,KHAMMAM,BSP,0,Post Graduate,"Rs 74,70,415  ~ 74 Lacs+","Rs 31,54,517  ~ 31 Lacs+"
276,Afroja Khatun Mondal,KRISHNANAGAR,All India Secular Front,0,12th Pass,,
277,Afrose,VELLORE,IND,0,5th Pass,"Rs 16,81,000  ~ 16 Lacs+",Rs 0  ~
278,Afsar Khan Yaseen Kha,AURANGABAD,Vanchit Bahujan Aaghadi,2,12th Pass,"Rs 6,42,55,589  ~ 6 Crore+",Rs 0  ~
279,Afzal Ansari,GHAZIPUR,SP,5,Post Graduate,,
280,Afzal Shabbirali Dawoodani,MUMBAI SOUTH,Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 1,31,31,465  ~ 1 Crore+","Rs 21,20,000  ~ 21 Lacs+"
281,Aga Syed Ruhullah Mehdi,SRINAGAR,Jammu & Kashmir National Conference,0,12th Pass,"Rs 3,57,93,000  ~ 3 Crore+","Rs 4,38,000  ~ 4 Lacs+"
282,Agam Swaroop,DEORIA,Rashtriya Samanta Dal,0,Post Graduate,,
283,Agasteen Kommina,ELURU,IND,0,5th Pass,"Rs 8,00,000  ~ 8 Lacs+",Rs 0  ~
284,Agatha K Sangma,TURA (ST),National Peoples Party,0,Post Graduate,"Rs 3,79,34,056  ~ 3 Crore+",Rs 0  ~
285,Agni Aalvar,CHENNAI CENTRAL,IND,0,10th Pass,,
286,Agni Aalvar,DHARMAPURI,IND,0,10th Pass,"Rs 6,98,100  ~ 6 Lacs+",Rs 0  ~
287,Agnimitra Paul,MEDINIPUR,BJP,11,Graduate,"Rs 2,64,32,790  ~ 2 Crore+","Rs 1,20,11,270  ~ 1 Crore+"
288,Ahamed Shahjahan M,SALEM,IND,0,Post Graduate,,
289,Ahirwar Dalluram,TIKAMGARH (SC),BSP,0,Literate,"Rs 66,90,000  ~ 66 Lacs+",Rs 0  ~
290,Ahirwar Pankaj S/O Hari,TIKAMGARH (SC),Rashtriya Samaj Paksha,0,Graduate,"Rs 11,12,500  ~ 11 Lacs+",Rs 0  ~
291,Ahirwar Rajkumar Thekedaar,SAGAR,IND,0,10th Pass,,
292,Ahmad Jiya Khan,SHRAWASTI,Peace Party,0,10th Pass,"Rs 30,07,000  ~ 30 Lacs+",Rs 0  ~
293,Ahmad Khan,JALGAON,IND,0,Literate,"Rs 1,21,80,000  ~ 1 Crore+","Rs 28,00,000  ~ 28 Lacs+"
294,Ahmad Rahim Saikh Bagwan,JALNA,IND,0,12th Pass,,
295,Ahmed Hedatul Hasan,MALDAHA DAKSHIN,IND,0,12th Pass,"Rs 1,88,500  ~ 1 Lacs+","Rs 18,000  ~ 18 Thou+"
296,Ahmed Raashid Pallimira,VELLORE,IND,0,8th Pass,"Rs 2,06,40,000  ~ 2 Crore+","Rs 7,00,000  ~ 7 Lacs+"
297,Ainul Ansari,RANCHI,IND,2,Others,,
298,Aitaraju Abender,BHONGIR,BSP,0,Post Graduate,"Rs 55,000  ~ 55 Thou+",Rs 0  ~
299,Aj Rajan,WEST DELHI,Navarang Congress Party,0,10th Pass,"Rs 3,84,000  ~ 3 Lacs+",Rs 0  ~
300,Ajablal Mehta,MADHEPURA,Yuva Krantikari Party,0,12th Pass,,
301,Ajagiya Niralbhai Amrutlal,RAJKOT,IND,0,10th Pass,"Rs 72,00,500  ~ 72 Lacs+","Rs 15,99,000  ~ 15 Lacs+"
302,Ajanta Sarkar,HOOGHLY,Bharatiya National Janata Dal,0,Graduate,"Rs 9,77,700  ~ 9 Lacs+","Rs 16,938  ~ 16 Thou+"
303,Ajay,GHAZIPUR,Vishwa Kalyan Rashtriya Manav Samaj Party,0,Graduate,,
304,Ajay Babu Boda,ELURU,Navarang Congress Party,0,10th Pass,"Rs 70,000  ~ 70 Thou+","Rs 2,40,000  ~ 2 Lacs+"
305,Ajay Bakaram Chavan,RAMTEK (SC),IND,0,Post Graduate,"Rs 11,00,000  ~ 11 Lacs+",Rs 0  ~
306,Ajay Barkade,CHHINDWARA,IND,0,12th Pass,,
307,Ajay Bhat,JAIPUR RURAL,Republican Party of India (A),0,Literate,"Rs 29,48,000  ~ 29 Lacs+","Rs 8,50,000  ~ 8 Lacs+"
308,Ajay Bhatt,NAINITAL-UDHAM SINGH NAGAR,BJP,0,Graduate Professional,"Rs 4,87,14,988  ~ 4 Crore+","Rs 19,05,347  ~ 19 Lacs+"
309,Ajay Hanumant Londhe,MAVAL,IND,2,Graduate,,
310,Ajay Krishna,KODARMA,Moolniwasi Samaj Party,2,12th Pass,"Rs 70,26,000  ~ 70 Lacs+","Rs 6,50,000  ~ 6 Lacs+"
311,Ajay Kumar,GURGAON,IND,0,10th Pass,"Rs 11,69,964  ~ 11 Lacs+",Rs 0  ~
312,Ajay Kumar,KHAGARIA,Rashtriya Jansambhavna Party,0,Graduate Professional,,
313,Ajay Kumar,KHERI,BJP,0,Graduate Professional,"Rs 6,25,72,088  ~ 6 Crore+",Rs 0  ~
314,Ajay Kumar Das,MATHURAPUR (SC),All India Secular Front,0,Post Graduate,"Rs 36,19,513  ~ 36 Lacs+","Rs 18,00,000  ~ 18 Lacs+"
315,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,,
316,Ajay Kumar Mishra,KANPUR,IND,0,Graduate,"Rs 17,58,04,835  ~ 17 Crore+","Rs 12,83,16,695  ~ 12 Crore+"
317,Ajay Kumar Pathak,BHOPAL,Chhatrapati Shivaji Bhartiya Garib Party,0,Post Graduate,"Rs 20,18,000  ~ 20 Lacs+","Rs 40,000  ~ 40 Thou+"
318,Ajay Kumar Sah,SUPAUL,IND,0,8th Pass,,
319,Ajay Nishad,MUZAFFARPUR,INC,2,Graduate,"Rs 29,62,91,687  ~ 29 Crore+","Rs 1,02,02,589  ~ 1 Crore+"
320,Ajay Pali,RAJNANDGAON,IND,0,5th Pass,"Rs 31,00,000  ~ 31 Lacs+",Rs 0  ~
321,Ajay Pratap Singh,SIDHI,Gondvana Gantantra Party,0,Post Graduate,,
322,Ajay Pratap Singh Alias Pintu Saithwar,KUSHI NAGAR,SP,4,10th Pass,"Rs 13,86,95,400  ~ 13 Crore+","Rs 14,98,109  ~ 14 Lacs+"
323,Ajay Rai,VARANASI,INC,18,Graduate,"Rs 2,65,22,683  ~ 2 Crore+","Rs 15,35,243  ~ 15 Lacs+"
324,Ajay Sahni,MUZAFFARPUR,IND,0,8th Pass,,
325,Ajay Shyam Morya,KALYAN,IND,0,8th Pass,"Rs 35,36,000  ~ 35 Lacs+","Rs 11,50,000  ~ 11 Lacs+"
326,Ajay Tamta,ALMORA (SC),BJP,0,Graduate,"Rs 1,23,81,663  ~ 1 Crore+","Rs 19,09,642  ~ 19 Lacs+"
327,Ajay Tiwari,NORTH EAST DELHI,Right to Recall Party,0,12th Pass,,
328,Ajay Yadav,MORADABAD,Apna Haq Party,0,Post Graduate,"Rs 44,20,000  ~ 44 Lacs+",Rs 0  ~
329,Ajaykumar Bhartiya,BHANDARA GONDIYA,Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 92,86,757  ~ 92 Lacs+","Rs 7,00,000  ~ 7 Lacs+"
330,Ajaz Ahmed Ansari,HOWRAH,IND,6,8th Pass,,
331,Ajaz Mohammad Safi Khan,MUMBAI NORTH - CENTRAL,IND,11,8th Pass,"Rs 44,46,127  ~ 44 Lacs+",Rs 0  ~
332,Ajeeb Muhammed,WAYANAD,IND,0,10th Pass,"Rs 2,30,00,000  ~ 2 Crore+","Rs 25,00,000  ~ 25 Lacs+"
333,Ajeet Kumar,NALANDA,IND,0,Post Graduate,,
334,Ajeet Kumar Patel,ALLAHABAD,Pragatisheel Samaj Party,0,12th Pass,"Rs 3,12,50,000  ~ 3 Crore+",Rs 0  ~
335,Ajeet Kumar Singh,KARAKAT,Peoples Party of India (Democratic),0,Graduate,"Rs 37,22,000  ~ 37 Lacs+",Rs 0  ~
336,Ajeet Pratap,PRATAPGARH,IND,0,Graduate Professional,,
337,Ajeet Sharma,BHAGALPUR,INC,2,Graduate,"Rs 54,51,51,545  ~ 54 Crore+","Rs 4,56,76,250  ~ 4 Crore+"
338,Ajeethkumar S,THENI,IND,0,Post Graduate,"Rs 1,14,288  ~ 1 Lacs+",Rs 0  ~
339,Ajendra Singh Lodhi,HAMIRPUR,SP,0,12th Pass,,
340,Ajhar Anwar Sayyad,JALNA,IND,0,Post Graduate,"Rs 21,05,858  ~ 21 Lacs+",Rs 0  ~
341,Ajit Dhanaji Khandare,SANGLI,IND,0,Graduate,"Rs 15,65,085  ~ 15 Lacs+","Rs 6,70,000  ~ 6 Lacs+"
342,Ajit Kumar,NALANDA,IND,0,Graduate,,
343,Ajit Kumar Mandal,BAHARAMPUR,IND,0,Post Graduate,"Rs 63,87,077  ~ 63 Lacs+",Rs 0  ~
344,Ajit Mahato,PURULIA,IND,0,12th Pass,"Rs 15,000  ~ 15 Thou+",Rs 0  ~
345,Ajit Marandi,RAJMAHAL (ST),Rashtriya Jansambhavna Party,1,Graduate,,
346,Ajit Prasad Mahata,PURULIA,IND,21,Graduate,"Rs 45,33,103  ~ 45 Lacs+",Rs 0  ~
347,Ajit Ramjibhai Mahala,DADAR & NAGAR HAVELI (ST),INC,0,Graduate Professional,"Rs 1,05,60,556  ~ 1 Crore+","Rs 49,55,000  ~ 49 Lacs+"
348,Ajit Singh,HISAR,IND,3,12th Pass,,
349,Ajit Singh,KHADOOR SAHIB,IND,0,Illiterate,"Rs 10,65,000  ~ 10 Lacs+",Rs 0  ~
350,Ajit Singh,FIROZPUR,Rashtriya Republican Party,0,Graduate,"Rs 60,91,000  ~ 60 Lacs+","Rs 9,00,000  ~ 9 Lacs+"
351,Ajitansh Gaur,MUZAFFARPUR,The Agrani Party,3,Post Graduate,,
352,Ajoy Narzary,KOKRAJHAR (ST),IND,0,Graduate Professional,"Rs 57,88,056  ~ 57 Lacs+","Rs 10,56,923  ~ 10 Lacs+"
353,Akash Laxman Kharatmal,MUMBAI SOUTH - CENTRAL,IND,0,5th Pass,"Rs 6,26,000  ~ 6 Lacs+",Rs 0  ~
354,Akash Srivastav,NORTH EAST DELHI,Jai Hind National Party,1,Post Graduate,,
355,Akash Vyas,GURGAON,Bhartiya Shakti Chetna Party,0,Graduate,"Rs 33,400  ~ 33 Thou+",Rs 0  ~
356,Akbar Ali,DHANBAD,Akhil Bhartiya Parivar Party,0,Graduate,"Rs 41,32,500  ~ 41 Lacs+","Rs 19,84,400  ~ 19 Lacs+"
357,Akbar M Basha,RAJAMPET,Anna YSR Congress Party,2,12th Pass,,
358,Akeshan Dut,NORTH EAST DELHI,IND,0,Graduate,"Rs 92,100  ~ 92 Thou+","Rs 41,400  ~ 41 Thou+"
359,Akhalesh Kumar,NAINITAL-UDHAM SINGH NAGAR,Akhil Bhartiya Parivar Party,1,Post Graduate,"Rs 6,00,000  ~ 6 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
360,Akhand Pratap Singh,LUCKNOW,IND,0,Post Graduate,,
361,Akhil Kumar Mohanta,BALASORE,IND,0,Graduate,"Rs 20,58,007  ~ 20 Lacs+",Rs 0  ~
362,Akhilesh Kumar,ARARIA,IND,0,Doctorate,"Rs 2,47,11,288  ~ 2 Crore+","Rs 3,05,374  ~ 3 Lacs+"
363,Akhilesh Kumar Pandey,BUXAR,IND,0,Graduate,,
364,Akhilesh Pratap Singh,DEORIA,INC,0,Post Graduate,"Rs 4,27,34,648  ~ 4 Crore+","Rs 82,93,160  ~ 82 Lacs+"
365,Akhilesh Tripathi,PHULPUR,IND,0,Graduate Professional,"Rs 1,65,92,500  ~ 1 Crore+","Rs 18,40,000  ~ 18 Lacs+"
366,Akhilesh Yadav,KANNAUJ,SP,3,Graduate Professional,,
367,Akhileshwar Prasad Singh,MAHARAJGANJ,All India Majlis-E-Ittehadul Muslimeen,3,Graduate,"Rs 36,00,85,130  ~ 36 Crore+","Rs 55,000  ~ 55 Thou+"
368,Akhileshwar Shrivaishanv,SHEOHAR,IND,3,8th Pass,"Rs 5,18,01,680  ~ 5 Crore+","Rs 20,89,000  ~ 20 Lacs+"
369,Akhtar Ali,NAINITAL-UDHAM SINGH NAGAR,BSP,0,Literate,,
370,Akhtar Rahaman Biswas,BASIRHAT,All India Secular Front,1,12th Pass,"Rs 3,15,220  ~ 3 Lacs+","Rs 46,922  ~ 46 Thou+"
371,Akhtarul Iman,KISHANGANJ,All India Majlis-E-Ittehadul Muslimeen,4,Post Graduate,"Rs 1,28,60,474  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+"
372,Akkapaka Thirupathi,PEDDAPALLE (SC),IND,1,10th Pass,,
373,Akleshwar Saw,KODARMA,Lokhit Adhikar Party,0,8th Pass,"Rs 42,27,600  ~ 42 Lacs+",Rs 0  ~
374,Akram Hussain,HARIDWAR,IND,0,10th Pass,"Rs 61,14,918  ~ 61 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
375,Akshat Gait,GURGAON,IND,0,Graduate,,
376,Akshay,CHENNAI NORTH,Naadaalum Makkal Katchi,0,Post Graduate,"Rs 5,76,023  ~ 5 Lacs+","Rs 15,00,000  ~ 15 Lacs+"
377,Akshay Gothi,BHOPAL,Parivartan Party of India,0,Post Graduate,"Rs 6,65,20,316  ~ 6 Crore+","Rs 58,49,652  ~ 58 Lacs+"
378,Akshay Kumar Mekala,KARIMNAGAR,IND,0,Graduate Professional,,
379,Akshay Mehare Bhartiya,WARDHA,Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 17,50,000  ~ 17 Lacs+",Rs 0  ~
380,Akshaya Dishri,BOLANGIR,National Apni Party,0,10th Pass,"Rs 96,27,952  ~ 96 Lacs+","Rs 20,000  ~ 20 Thou+"
381,Akshaya Yadav,FIROZABAD,SP,3,Graduate Professional,,
382,Akumalla Mallikarjuna Reddy,ONGOLE,IND,0,10th Pass,"Rs 1,21,000  ~ 1 Lacs+","Rs 11,80,000  ~ 11 Lacs+"
383,Al. Monowara Begam,RAIGANJ,India Manus Party,0,Literate,"Rs 1,81,25,000  ~ 1 Crore+",Rs 0  ~
384,Alagarasan. R.,DHARMAPURI,IND,0,Post Graduate,,
385,Alakesh Das,RANAGHAT (SC),CPI(M),1,Graduate Professional,"Rs 86,27,408  ~ 86 Lacs+",Rs 0  ~
386,Alakesh Roy,DHUBRI,IND,1,Graduate,"Rs 2,82,000  ~ 2 Lacs+",Rs 0  ~
387,Alam Ali,SONITPUR,Bahujan Maha Party,1,5th Pass,,
388,Alam Mostaque,MALDAHA UTTAR,INC,0,Post Graduate,"Rs 2,37,71,891  ~ 2 Crore+",Rs 0  ~
389,Alamgir Mohammad Khan,PARBHANI,BSP,1,Graduate,"Rs 3,32,60,000  ~ 3 Crore+",Rs 0  ~
390,Albert Francis Xavier S,KRISHNAGIRI,IND,0,Post Graduate,,
391,Albert Ming,RAIGARH (ST),Hamar Raj Party,0,10th Pass,"Rs 1,23,000  ~ 1 Lacs+",Rs 0  ~
392,Alekar Gorakh Dashrath,AHMEDNAGAR,IND,3,Graduate,"Rs 2,06,000  ~ 2 Lacs+","Rs 65,09,286  ~ 65 Lacs+"
393,Alesh Hansda,DUMKA (ST),Indian National Socialistic Action Forces,0,10th Pass,,
394,Alexy Fernandes,SOUTH GOA,IND,0,12th Pass,"Rs 48,00,000  ~ 48 Lacs+","Rs 18,30,000  ~ 18 Lacs+"
395,Alfred Kanngam S Arthur,OUTER MANIPUR (ST),INC,0,12th Pass,"Rs 55,53,26,115  ~ 55 Crore+","Rs 44,00,000  ~ 44 Lacs+"
396,Ali Hussain Siddiqui,DURG,IND,0,Post Graduate,,
397,Ali Imran,RAIGANJ,IND,0,8th Pass,"Rs 3,70,605  ~ 3 Lacs+","Rs 5,00,000  ~ 5 Lacs+"
398,Ali Imran Ramz,RAIGANJ,INC,3,Graduate Professional,"Rs 3,82,24,607  ~ 3 Crore+","Rs 20,06,660  ~ 20 Lacs+"
399,Ali Mansoor,NIZAMABAD,Anna YSR Congress Party,1,12th Pass,,
400,Ali Mohammad Wani,ANANTNAG-RAJOURI,IND,0,Graduate,"Rs 16,00,000  ~ 16 Lacs+",Rs 0  ~
401,Aliek Sunder Meshram,MUMBAI NORTH,Bharatiya Mulnivasi Aazad Party,0,Graduate,"Rs 33,93,000  ~ 33 Lacs+","Rs 19,00,000  ~ 19 Lacs+"
402,Alik Kumar Kundu,KRISHNANAGAR,IND,0,Post Graduate,,
403,Alim Uddin Mazumder,KARIMGANJ,IND,0,12th Pass,"Rs 28,73,000  ~ 28 Lacs+",Rs 0  ~
404,Allam.Raja,THIRUPATHI (SC),IND,0,Doctorate,"Rs 2,01,060  ~ 2 Lacs+","Rs 8,00,000  ~ 8 Lacs+"
405,Allauddin Hayatchand Kazi,SANGLI,IND,0,Literate,,
406,Allu Sriramulu,VIZIANAGARAM,IND,0,8th Pass,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~
407,Alok Dolai,ARAMBAG (SC),IND,0,Post Graduate,"Rs 24,42,757  ~ 24 Lacs+","Rs 12,47,000  ~ 12 Lacs+"
408,Alok Kumar Mehta,UJIARPUR,RJD,3,Graduate Professional,,
409,Alok Kumar Singh,MUZAFFARPUR,IND,0,Not Given,"Rs 2,92,500  ~ 2 Lacs+",Rs 0  ~
410,Alok Mishra,KANPUR,IND,0,Graduate,"Rs 5,26,000  ~ 5 Lacs+",Rs 0  ~
411,Alok Misra,KANPUR,INC,5,Post Graduate,,
412,Alok Sharma,BHOPAL,BJP,4,Graduate,"Rs 8,86,25,237  ~ 8 Crore+","Rs 1,30,24,310  ~ 1 Crore+"
413,Alok Verma,KANNAUJ,Rashtriya Shoshit Samaj Party,1,Post Graduate,"Rs 7,84,73,726  ~ 7 Crore+","Rs 10,00,000  ~ 10 Lacs+"
414,Alpeshkumar Chandulal Trambadiya,JUNAGADH,Log Party,0,Graduate Professional,,
415,Alte Vishwanath Mahadev,LATUR (SC),BSP,1,Post Graduate,"Rs 54,17,561  ~ 54 Lacs+","Rs 6,51,000  ~ 6 Lacs+"
416,Altif,JHUNJHUNU,IND,0,Graduate Professional,"Rs 19,52,040  ~ 19 Lacs+","Rs 6,00,000  ~ 6 Lacs+"
417,Alyson Abonmai,OUTER MANIPUR (ST),IND,0,Graduate Professional,,
418,Amal Chandra Sarkar,KRISHNANAGAR,BSP,0,10th Pass,"Rs 78,38,500  ~ 78 Lacs+",Rs 0  ~
419,Amal Das,COOCH BEHAR (SC),IND,0,12th Pass,"Rs 5,53,008  ~ 5 Lacs+",Rs 0  ~
420,Amal Kumar Barman,ULUBERIA,IND,0,10th Pass,,
421,Amal Kumar Dey,KOLKATA UTTAR,IND,0,Graduate,"Rs 32,18,879  ~ 32 Lacs+","Rs 1,77,000  ~ 1 Lacs+"
422,Amal Kumar Deyati,ULUBERIA,Bharatiya Nyay-Adhikar Raksha Party,1,12th Pass,"Rs 34,11,000  ~ 34 Lacs+",Rs 0  ~
423,Amal Kumar Rabidas,MALDAHA DAKSHIN,IND,0,10th Pass,,
424,Amandeep Singh,LUDHIANA,Sehajdhari Sikh Party,1,10th Pass,"Rs 1,18,86,718  ~ 1 Crore+",Rs 0  ~
425,Amandeep Singh,BATHINDA,IND,3,10th Pass,"Rs 8,00,000  ~ 8 Lacs+",Rs 0  ~
426,Amanpreet Singh,SANGRUR,IND,1,5th Pass,,
427,Amanpreet Singh Mahadipur,AMRITSAR,IND,0,Graduate,"Rs 87,22,753  ~ 87 Lacs+","Rs 7,00,000  ~ 7 Lacs+"
